full_name,birth_year,death_year,party_entrance_year,party_entrance_month,ethnicity
Гнездилов Анатолий Евдокимович,1913,1982,1940,8,Русский
Гнездилов Олимп Степанович,1893,1951,1936,12,Русский
Гнилощеков Александр Владимирович,1905,NA,1928,8,Русский
Гобе Вильгельм Янович,1899,1969,1917,8,Латыш
Гоголев Виктор Иванович,1906,1962,1927,8,Русский
Годунов Сергей Васильевич,1907,1967,1939,12,Русский
Гойко Иван Григорьевич,1910,1980,1931,3,Украинец
Голдованский Павел Николаевич,1908,NA,1928,8,Русский
Голик Виталий Акимович,1918,1983,1940,5,Украинец
Голованов Владимир Алексеевич,1903,1956,1925,4,Русский
Головин Аким Семенович,1897,1970,1919,12,Русский
Головков Михаил Нифонович,1904,1985,1931,2,Русский
Головлев Илья Иванович,1902,1977,1927,5,Русский
Голубев Александр Николаевич,1911,1985,1939,4,Русский
Голубев Алексей Федорович,1902,1970,1925,5,Русский
Гончаров Дмитрий Георгиевич,1906,1979,1926,11,Русский
Гончаров Иван Иванович,1904,1978,1927,4,Русский
Горбатенко Алексей Михайлович,1916,1982,1940,12,Русский
Горбатов Михаил Васильевич,1914,1967,1943,5,Русский
Горбатюк Иван Маркович,1903,1957,1925,6,Украинец
Горбачевский Макар Давыдович,1906,1989,1929,10,Белорус
Горбенко Иван Иванович,1903,1985,1926,12,Украинец
Горбулин Павел Николаевич,1909,NA,1930,3,"(отец умер в 1921, мать погибла в 1943 в Курске)"
Горбунов Семен Федорович,1906,1978,1931,5,Украинец
Горгонов Иван Иванович,1903,1994,1927,3,Русский
Гордеев Арсений Александрович,1912,1985,1938,9,Русский
Горелов Евгений Павлович,1910,1980,1930,10,Русский
Горлинский Николай Дмитриевич,1907,1965,1931,10,Украинец
Горский Анатолий Вениаминович,1907,1980,1932,4,Русский
Горьков Николай Георгиевич,1910,1983,1938,11,Отец после революции сотр
Горяинов Евгений Николаевич,1907,1963,1938,9,Русский
Граур Андрей Григорьевич,1905,1957,1928,5,Украинец
Грачев Александр Павлович,1903,1962,1926,8,Русский
Гребенник Кузьма Евдокимович,1900,1974,1920,9,Русский
Гребченко Иван Кузьмич,1904,1977,1928,5,Украинец
Грибанов Олег Михайлович,1915,1992,1939,4,Русский
Грибов Михаил Васильевич,1905,1992,1926,10,Русский
Григоров Родион Андреевич,1903,1974,1927,9,Русский
